f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
4685.3279859950699,991919,662,1,"1"
4699.7116360651071,991917,664,2,"1-1"
4701.4419311915772,991916,665,1,"1"
4739.4753343016255,991910,671,2,"2"
4764.5339688720069,991907,674,1,"1"
4779.845498888063,991906,675,1,"1"
4798.0544904350818,991904,677,2,"2"
4819.5028664322836,991886,695,1,"1"
4830.1117554702405,991868,713,1,"1"
4899.029487058232,991867,714,1,"1"
4978.2077404682168,991866,715,1,"1"
4985.778965142702,991865,716,1,"1"
4993.8533004981618,991853,728,1,"1"
4999.7100069654771,991850,731,3,"3"
5021.0188549577952,991832,749,1,"1"
5026.1352417167018,991831,750,1,"1"
5027.2048461641998,991819,762,1,"1"
5054.3570007199696,991818,763,1,"1"
5069.9049831781067,991816,765,2,"2"
5122.7165402524352,991815,766,1,"1"
5127.2718486161721,991814,767,1,"1"
5139.19912759815,991796,785,1,"1"
5150.3040281402664,991795,786,1,"1"
5169.854642198191,991790,791,1,"1"
5196.6258102069296,991788,793,2,"2"
5211.8842495396939,991778,803,1,"1"
5234.8486812215378,991768,813,1,"1"
5285.2589496378023,991765,816,3,"3"
5286.3282563825942,991764,817,1,"1"
5311.7725583925521,991763,818,1,"1"
5342.2485217442336,991761,820,2,"2"
5347.2853950483159,991743,838,1,"1"
5349.2082718333559,991742,839,1,"1"
5365.3036115736768,991733,848,1,"1"
5370.9963312937316,991732,849,1,"1"
5403.9512717438165,991714,867,1,"1"
5437.2247401922041,991713,868,1,"1"
5513.6722156159412,991712,869,1,"1"
5536.8079525719622,991711,870,1,"1"
5568.3585026577175,991710,871,1,"1"
5573.3257428092274,991696,885,1,"1"
5622.8645591842806,991678,903,1,"1"
5630.975619289291,991675,906,1,"1"
5646.6878243266392,991674,907,1,"1"
5650.184788255232,991673,908,1,"1"
5659.0063577628607,991661,920,1,"1"
5666.0427092443615,991660,921,1,"1"
5675.5134956614629,991659,922,1,"1"
5770.1985298952304,991658,923,1,"1"
5802.9991764884699,991654,927,4,"4"
5813.9953119752099,991636,945,1,"1"
5817.6450888597183,991624,957,1,"1"
5844.9672260025827,991623,958,1,"1"
5917.3647913545301,991622,959,1,"1"
5930.6432044177782,991610,971,1,"1"
6011.6288229595602,991592,989,1,"1"
6019.9640030674109,991591,990,1,"1"
6024.4414984902169,991590,991,1,"1"
6065.6088657598375,991585,996,5,"3-2"
6065.9311572813467,991584,997,1,"1"
6071.6471632057246,991574,1007,1,"1"
6074.0081387494065,991573,1008,1,"1"
6082.7086067096534,991572,1009,1,"1"
6082.8828536472829,991569,1012,3,"3"
6102.9965361865025,991568,1013,1,"1"
6154.3014934187986,991556,1025,1,"1"
6157.4483483870517,991538,1043,1,"1"
6175.4155395645312,991526,1055,1,"1"
6206.8904446048418,991508,1073,1,"1"
6244.8248247455294,991490,1091,1,"1"
6245.9413287844309,991487,1094,1,"1"
6268.1483989397766,991482,1099,1,"1"
6276.2525361972439,991464,1117,1,"1"
6289.6116520127416,991463,1118,1,"1"
6292.2903092779288,991449,1132,1,"1"
6296.496729696978,991448,1133,1,"1"
6302.8594863280596,991445,1136,3,"3"
6308.1147428810364,991444,1137,1,"1"
6318.0108448108294,991442,1139,2,"1-1"
6327.1149062973391,991441,1140,1,"1"
6328.396648082482,991440,1141,1,"1"
6365.6727100856633,991437,1144,1,"1"
6369.8910858000472,991427,1154,1,"1"
6379.9495997314871,991409,1172,1,"1"
6424.3906891609022,991408,1173,1,"1"
6503.7253399188594,991390,1191,1,"1"
6516.5194508475697,991389,1192,1,"1"
6524.9191782740263,991371,1210,1,"1"
6581.8780281816862,991359,1222,1,"1"
6595.3972422844454,991358,1223,1,"1"
6595.5038782715865,991357,1224,1,"1"
6615.7416918650133,991354,1227,3,"1-1-1"
6647.2088395302007,991353,1228,1,"1"
6673.2054603419219,991343,1238,1,"1"
6688.8811155331277,991342,1239,1,"1"
6700.9641068009241,991332,1249,1,"1"
6724.8278014552889,991329,1252,3,"2-1"
6733.1700237580799,991328,1253,1,"1"
6735.7493990218318,991310,1271,1,"1"
6764.1781089645328,991309,1272,1,"1"
6786.9518008659543,991299,1282,1,"1"
6792.4014498879505,991298,1283,1,"1"
6802.05886522127,991296,1285,2,"1-1"
6835.0031898448333,991295,1286,1,"1"
6868.2235323251834,991294,1287,1,"1"
6872.0220926701641,991293,1288,1,"1"
6876.2422219380187,991292,1289,1,"1"
6894.2772355470761,991289,1292,3,"3"
6896.0882921697157,991288,1293,1,"1"
6927.8694769257063,991270,1311,1,"1"
6989.2105936851231,991268,1313,2,"2"
6991.5074142549947,991250,1331,1,"1"
7019.7073886927901,991248,1333,2,"2"
7051.0325444229902,991247,1334,1,"1"
7051.095995808605,991229,1352,1,"1"
7085.7648151728845,991228,1353,1,"1"
7093.0868367509456,991227,1354,1,"1"
7099.3804973593315,991226,1355,1,"1"
7128.4789069991302,991225,1356,1,"1"
7156.8311395161618,991224,1357,1,"1"
7161.4174399887079,991214,1367,1,"1"
7232.5590971977572,991196,1385,1,"1"
7259.4659448848979,991178,1403,1,"1"
7269.1390865979383,991162,1419,1,"1"
7280.6849703898524,991155,1426,1,"1"
7332.4919810585079,991152,1429,3,"2-1"
7332.5128028549971,991151,1430,1,"1"
7347.9726124525459,991149,1432,2,"2"
7349.6367713523168,991148,1433,1,"1"
7351.8051804957877,991130,1451,1,"1"
7364.3202576545818,991127,1454,1,"1"
7364.8894148601812,991126,1455,1,"1"
7381.652418126765,991125,1456,1,"1"
7393.7810230912728,991107,1474,1,"1"
7422.0333853174316,991105,1476,2,"2"
7445.2164615246302,991104,1477,1,"1"
7496.6456732747893,991101,1480,1,"1"
7500.5795225389047,991100,1481,1,"1"
7506.8584854886776,991099,1482,1,"1"
7536.2243429393238,991098,1483,1,"1"
7542.5000980593777,991097,1484,1,"1"
7569.1751131703231,991092,1489,1,"1"
7571.6403589759166,991074,1507,1,"1"
7572.4106762117981,991056,1525,1,"1"
7582.3181450421844,991055,1526,1,"1"
7587.8560337838535,991050,1531,1,"1"
7594.5893001809245,991048,1533,2,"2"
7614.0356667753858,991047,1534,1,"1"
7631.1042724396002,991029,1552,1,"1"
7688.0336835144535,991022,1559,1,"1"
7708.3075763199604,991004,1577,1,"1"
7709.4702087745345,990986,1595,1,"1"
7735.8892697153678,990985,1596,1,"1"
7741.3238393276724,990984,1597,1,"1"
7768.2130529836022,990979,1602,1,"1"
7782.4790313843705,990978,1603,1,"1"
7782.9662772413185,990969,1612,5,"3-2"
7792.8486583108797,990968,1613,1,"1"
7821.2957318349972,990967,1614,1,"1"
7829.984602283047,990949,1632,1,"1"
7845.3747109950318,990931,1650,1,"1"
7857.1864777825094,990930,1651,1,"1"
7886.6725602691549,990929,1652,1,"1"
7890.8465110633679,990925,1656,4,"4"
