ts_first,ts_second,adjacent,population,total_variation,jensen_shannon,kolmogorov_smirnov,wasserstein
8,64,False,nontrivial,0.18755120640408177,0.2284351004531651,0.1723367151582016,14.52002868391995
8,128,False,all,0.09696772165800001,0.14673312779782535,0.09570481915296802,2.5322473530639305
8,128,False,nontrivial,0.20643770860650498,0.24766853277178966,0.19158682122000137,16.023198687788913
8,512,False,all,0.10251883441306138,0.15391198584425547,0.10126789343865339,2.6755709356384276
8,512,False,nontrivial,0.21422940641555646,0.25465972094010625,0.19849465422597212,18.174103114005206
8,1024,False,all,0.10286856102630419,0.15422381584451525,0.10163027055113405,2.680510845447646
8,1024,False,nontrivial,0.21322580013446504,0.2542377840068546,0.19758056082035325,18.230880089398866
8,4096,False,all,0.10309999711328724,0.15419539512537878,0.1018628751137185,2.701722711124175
8,4096,False,nontrivial,0.2119236693211845,0.2524971099736702,0.196244299239708,18.52391451756985
8,8192,False,all,0.1038642824700399,0.15623454713284968,0.10260984796629713,2.7190640237053123
8,8192,False,nontrivial,0.2187634206754706,0.25964405533788515,0.2027120198661032,18.88111191500172
16,32,True,all,0.031039218610142458,0.05502300274584902,0.029978812028467083,0.9780321768831362
16,32,True,nontrivial,0.07476440123039815,0.11200964809001385,0.06430613824791509,5.777561284243852
16,64,False,all,0.048733099320150707,0.08405898895965776,0.047532384842779885,1.5383653686786574
16,64,False,nontrivial,0.12157140519083386,0.16664212343455967,0.10806733124921541,10.114224475652712
16,128,False,all,0.05510555867074776,0.0949293163177666,0.05394026605052049,1.7180071343038439
16,128,False,nontrivial,0.14125135861225244,0.18813444070343274,0.1273174373110152,11.788264606814185
16,512,False,all,0.06069433993486389,0.10244006510428222,0.05950334033620586,1.8662882096470406
16,512,False,nontrivial,0.14936053986755823,0.19646935409305974,0.13422527031698595,13.64385337209804
16,1024,False,all,0.061062563720204174,0.10291681931396812,0.05986571744868652,1.8760086267229361
16,1024,False,nontrivial,0.1485413839672004,0.19692880656070952,0.13331117691136707,13.734540330996762
16,4096,False,all,0.06127980112070006,0.10275119534043169,0.060098322011270966,1.8971207961441747
16,4096,False,nontrivial,0.14708789354399596,0.19460384835153158,0.1319749153307218,14.010849838882915
16,8192,False,all,0.06204100268423045,0.10480613792048703,0.0608452948638496,1.9083721306800143
16,8192,False,nontrivial,0.15390101368435008,0.20129047936711522,0.13844263595711703,14.243650938469465
32,64,True,all,0.01823749795132971,0.03729691711866384,0.0175535728143128,0.649651079799448
32,64,True,nontrivial,0.05179448299124146,0.08810813753857225,0.043761193001300325,4.674903505297257
32,128,False,all,0.02478932141459233,0.05007420712296373,0.023961454022053408,0.8738214094924969
32,128,False,nontrivial,0.07322740513075232,0.11763184204552649,0.0630112990631001,6.502919377421668
32,512,False,all,0.030510443323306557,0.05895841666082808,0.029524528307738773,1.0263950566549531
32,512,False,nontrivial,0.08262658039137269,0.13280540245379605,0.06991913206907086,8.083678527090623
32,1024,False,all,0.030914395114730084,0.05996625930697397,0.029886905420219434,1.0407452241321606
32,1024,False,nontrivial,0.08224579728901328,0.13594045620060133,0.06900503866345198,8.203249165491531
32,4096,False,all,0.03114389706624529,0.05976507043828092,0.030119509982803883,1.062253772948293
32,4096,False,nontrivial,0.08086296120570706,0.1335800856231476,0.06766877708280672,8.465185185012142
32,8192,False,all,0.03187315349963895,0.06135684511031032,0.030866482835382514,1.0670983518343342
32,8192,False,nontrivial,0.08730209643355975,0.13758173844188126,0.07413649770920194,8.597308203466033
64,128,True,all,0.006674871799033589,0.016051546172201742,0.006407881207740607,0.24218194768023205
64,128,True,nontrivial,0.022703972339768022,0.043322300135656286,0.019250106061799777,1.8913563746956292
64,512,False,all,0.012530986153989246,0.027705773349858787,0.011970955493425972,0.39386030450977194
64,512,False,nontrivial,0.033607143842463424,0.07137901398763385,0.02615793906777053,3.808633036068725
64,1024,False,all,0.012926587827260014,0.028751884686260065,0.012333332605906633,0.409806653888075
64,1024,False,nontrivial,0.0332367642966265,0.07464686109276564,0.025243845662151654,3.8101688701804814
64,4096,False,all,0.013212453430681656,0.029451054560164315,0.012565937168491081,0.43301190453576943
64,4096,False,nontrivial,0.032484507840451426,0.07663438866253161,0.023907584081506394,4.127382857585902
64,8192,False,all,0.013926628018926045,0.030577173095039753,0.013312910021069713,0.43364310099421144
64,8192,False,nontrivial,0.03861728055882449,0.0783583026947285,0.030375304707901618,4.683391290767327
128,512,True,all,0.005895113610009963,0.014015815676955014,0.0055630742856853654,0.1529424234454051
128,512,True,nontrivial,0.011401874381246176,0.038524957838461535,0.006907833005970754,2.6516930121604716
128,1024,False,all,0.006276989201573491,0.0147301030494365,0.005925451398166026,0.16847094135316232
128,1024,False,nontrivial,0.010903188696404754,0.04023936873942322,0.005993739600351877,2.637322361327734
128,4096,False,all,0.00657904657785971,0.016191676315995353,0.006158055960750475,0.1910813220767793
128,4096,False,nontrivial,0.010475861223018565,0.04564483308217561,0.005573924782911188,2.9683404234702304
128,8192,False,all,0.007301792819893286,0.017376138989928156,0.006905028813329106,0.19335845261286821
128,8192,False,nontrivial,0.016539436595855838,0.04773702394764659,0.011125198646101842,3.5679233251271483
512,1024,True,all,0.000553923742322292,0.00470506762540433,0.00036237711248066073,0.03131386799910507
512,1024,True,nontrivial,0.0033273476753434006,0.01658445603368808,0.0009140934056188765,0.34543874588936996
512,4096,False,all,0.0007981934954506553,0.004758082955991025,0.0005949816750651093,0.04171200952148668
512,4096,False,nontrivial,0.004099857088856886,0.016575956688526683,0.002250354986264136,0.45292533241255906
512,8192,False,all,0.0014988337161255588,0.0065267299186539994,0.0013419545276437406,0.04706761379793423
512,8192,False,nontrivial,0.006358620059783362,0.021979890728430807,0.004217365640131088,0.9201988753629802
1024,4096,True,all,0.00047956152808967094,0.0051812055828087756,0.00023260456258444862,0.03231697762153851
1024,4096,True,nontrivial,0.003453204207641238,0.018382735373052708,0.0013448313573207749,0.43518586893103084
1024,8192,False,all,0.0011957096418985904,0.007686738577622562,0.0009795774151630798,0.0619380285665968
1024,8192,False,nontrivial,0.007974808003693039,0.02683364302303303,0.005131459045749964,0.9526810587448049
4096,8192,True,all,0.0009259948747192835,0.006224194634727324,0.0007564827903089322,0.046356801463070196
4096,8192,True,nontrivial,0.008703574635925722,0.021803485518644788,0.006467720626395224,0.7120619072520828
