ts,seed,initial_backbone_size,preterminal_maximum_size,preterminal_q999_size,tail_events,tail_realizations
8192,6445,38199,356,15,2650,899
8192,6460,38503,228,18,3150,924
8192,6475,36381,230,16,2635,913
8192,6490,38412,354,15,3089,879
8192,6505,35323,209,16,3060,913
8192,6520,38134,277,15,3155,948
8192,6535,36421,322,13,1982,871
8192,6550,38208,287,11,1519,668
8192,6565,37906,221,14,2659,901
8192,6580,35909,167,14,2232,863
8192,6595,40069,188,13,2351,846
8192,6610,41537,226,17,3273,916
8192,6625,39692,210,12,2269,811
8192,6640,39545,349,21,4672,973
8192,6655,39430,214,15,2458,875
8192,6670,38341,303,26,5085,970
8192,6685,37253,212,12,1836,778
8192,6700,38011,184,14,2167,834
8192,6715,38309,332,17,3824,943
8192,6730,34820,134,10,949,589
8192,6745,39045,339,21,3656,955
8192,6760,36528,175,14,1688,787
8192,6775,34842,231,13,1895,822
8192,6790,40263,240,19,4050,959
8192,6805,36642,203,16,2361,838
8192,6820,37441,212,15,2800,914
8192,6835,38756,136,9,1060,597
8192,6850,36548,216,11,1098,589
8192,6865,38674,204,12,2316,824
