ts,omitted_seed,xmin,alpha,ks,n_tail
8,1345,3,2.10917201585872,0.018953872165132224,1176575
8,1360,3,2.1109806186555757,0.018948560679490578,1169646
8,1375,3,2.1052684380052815,0.019547810349876737,1178068
8,1390,3,2.110313037021851,0.018831524975129077,1172967
8,1405,3,2.106773180085338,0.01948747006436058,1169184
8,1420,3,2.106577158547459,0.019928976874463267,1172518
8,1435,3,2.1089968747432506,0.01936972608206189,1165062
8,1450,3,2.1091661445020367,0.019024578483527788,1169432
8,1465,3,2.105032664749446,0.018954619758919655,1167161
8,1480,3,2.108813562380287,0.01981271970923637,1175100
8,1495,3,2.1114966565649156,0.018825754908146752,1168948
8,1510,3,2.115636115421318,0.019418593183101795,1174665
8,1525,3,2.1052731020936797,0.01908733172030319,1167993
8,1540,98,4.214050285272027,0.010355147670258025,6010
8,1555,3,2.1078160660730743,0.019211960680019957,1164058
8,1570,3,2.1078936903119265,0.019100164286139365,1173552
8,1585,146,4.7238272617904675,0.01873555258106696,1907
8,1600,3,2.1082517823675397,0.019081902189731048,1179541
8,1615,3,2.1068513764059005,0.01957603734175639,1171150
16,1630,3,2.2622268654375652,0.014080521694163517,1164108
16,1645,3,2.265588079186302,0.01433573902285723,1158092
16,1660,3,2.2682868781515833,0.014474464524749153,1157034
16,1675,4,2.2300914244744177,0.015075296645302605,739885
16,1690,3,2.26545782545178,0.014127464633665099,1155419
16,1705,3,2.2654962723392966,0.014527871711436546,1160219
16,1720,3,2.263885286660969,0.014134646516333282,1162197
16,1735,3,2.262545088223562,0.01333020235433735,1158260
16,1750,3,2.2650540811699527,0.014018926705265389,1161376
16,1765,3,2.263363151627222,0.015188054131019202,1152037
16,1780,3,2.265734249189921,0.014640263140854315,1148931
16,1795,3,2.266914110892209,0.014225669196796575,1154646
16,1810,3,2.2628280703293595,0.013369963736928225,1160323
16,1825,3,2.2659318947405156,0.013886352675481217,1159669
16,1840,3,2.262530578584055,0.014968792665049246,1151395
16,1855,3,2.2589971756819476,0.013690603590396366,1147606
16,1870,3,2.267879865620421,0.013323213184194937,1155710
16,1885,3,2.2638626709613554,0.014296556820316109,1149345
16,1900,3,2.2632785547205856,0.014231499236161294,1163688
16,1915,3,2.265297028443729,0.014045939886783931,1155194
16,1930,3,2.264360600503078,0.014021792931903143,1159008
16,1945,3,2.2671989058840847,0.01340104615436899,1163015
16,1960,3,2.260663603100847,0.014356629812295074,1152121
16,1975,3,2.265710831962225,0.014334386575496905,1153253
16,1990,3,2.2609926356060357,0.01563419050325493,1150492
16,2005,3,2.262563454103426,0.01370252641162778,1159705
16,2020,3,2.2633864402144748,0.014305639626684186,1155133
16,2035,3,2.2615672313067674,0.013257552210888479,1152962
16,2050,3,2.263376481818102,0.014268934954824286,1164660
16,2065,3,2.265338523594099,0.01470668351802551,1154141
16,2080,3,2.265106634848681,0.014425769180757941,1158856
16,2095,3,2.2653847596056176,0.014422800887251952,1155987
16,2110,3,2.2665629781262004,0.013926457101337053,1154991
16,2125,3,2.2647031359853225,0.013425374946786528,1160117
16,2140,3,2.2661048305864897,0.0144225567155713,1163429
16,2155,3,2.2641232947571193,0.013945038538417776,1151963
16,2170,3,2.2630431393547474,0.014648499391061609,1147453
16,2185,3,2.2643735297824708,0.014511482536870679,1154472
16,2200,3,2.2610921539893907,0.013763168146969429,1158571
16,2215,3,2.2636605848740095,0.013649759104081671,1156176
16,2230,3,2.2655116814202847,0.01436858967783966,1156778
16,2245,3,2.266918263051889,0.01358734367375608,1157869
16,2260,3,2.262084044705695,0.015237725457113716,1153566
16,2275,3,2.2606098409524007,0.014016189706563431,1155241
16,2290,3,2.262652268623927,0.01439871185352487,1159278
16,2305,3,2.264691402559514,0.014562071660517206,1156781
16,2320,3,2.2638586888471988,0.01422791109234861,1159138
16,2335,3,2.2639630919393903,0.014778516493397786,1156707
16,2350,3,2.263790929603492,0.014772386680217298,1152681
16,2365,3,2.2627161741332515,0.01432808472456143,1158421
32,10000,4,2.440607485906851,0.00751741389814875,653699
32,10015,4,2.4327517656390096,0.007408975629866976,659329
32,10030,4,2.429580533874312,0.0072389051304088126,662477
32,10045,4,2.429062730390793,0.007461060296540811,660121
32,10060,4,2.4332288319309483,0.007301843254772122,660336
32,10075,4,2.4305984553737248,0.007348074244093561,655292
32,10090,4,2.43048050280794,0.007138120136455872,651899
32,10105,4,2.432756930629663,0.007162218533173337,664109
32,10120,4,2.4282852438952234,0.007664914005062751,654660
32,10135,4,2.433439317319365,0.0071297550926318065,654524
32,10150,4,2.432091469263601,0.007314188601456384,660679
32,10165,4,2.4321540642216846,0.00693184182747586,657984
32,10180,4,2.434904532097745,0.007171752812910492,657323
32,10195,4,2.4364642259597624,0.006755061933687911,662135
32,10210,4,2.4329636331084856,0.007255023481321565,662573
32,10225,4,2.436991442604928,0.006493109607814018,655281
32,10240,4,2.4430184766403653,0.00635518186706896,654652
32,10255,4,2.433035681964681,0.006655467870481435,657474
32,10270,4,2.436043387936265,0.00714111908690207,656711
32,10285,4,2.4339253420234894,0.007363342765888015,655994
32,10300,4,2.4378775380798925,0.006368688871459471,656712
32,10315,4,2.4379370671121583,0.0072746326082674395,661595
32,10330,4,2.436467050019745,0.007320986351067704,653750
32,10345,4,2.4278672824634167,0.007402815530542561,656222
32,10360,4,2.4346490504527076,0.00691301253973009,657726
32,10375,4,2.4355633472711915,0.007227364767644073,657110
32,10390,4,2.4343416494713614,0.007243352248602619,659413
32,10405,4,2.4300891634626787,0.007825338076118626,653882
32,10420,4,2.435909884698673,0.007470822605590621,652557
32,10435,4,2.4348856258656055,0.007117340898493252,657346
32,10450,4,2.4361913168475593,0.006806806490651018,664167
32,10465,4,2.442016645820281,0.007075807846222748,663538
32,10480,4,2.4343483232318888,0.0073715333412104345,658661
32,10495,4,2.4282917490414664,0.0072321212885402275,656820
32,10510,4,2.43153202411269,0.0072681919071319045,659893
32,10525,4,2.4318315175506506,0.007071358106836678,654470
32,10540,4,2.435389557552888,0.007090975510086528,657647
32,10555,4,2.4336583735212405,0.00704482955234087,663078
32,10570,4,2.435252789450311,0.006719068561016894,652441
32,10585,4,2.436847335589817,0.0071426340331333105,655906
32,10600,4,2.4297935110282047,0.007397067660550816,659381
32,10615,4,2.4360494354280906,0.006875265998983693,660620
32,10630,4,2.43645102525928,0.007325692040620835,655909
32,10645,4,2.4327736910445505,0.0067866421625629725,657042
32,10660,4,2.4310534443653884,0.007498926758917834,653253
32,10675,4,2.436308697899035,0.007514248114832478,659261
32,10690,4,2.432672060019246,0.006898722873860064,661007
32,10705,4,2.431543440479225,0.007169518515392381,660939
32,10720,4,2.432659216767023,0.007671691130075375,652105
32,10735,4,2.4351608627454673,0.007529169021187498,662037
64,2380,6,2.537074696910917,0.007233432605568635,289914
64,2395,6,2.533985446111392,0.007813285788544011,289824
64,2410,6,2.530268130451254,0.007696105173391032,289064
64,2425,6,2.5292975319110313,0.007768007539786237,293034
64,2440,6,2.5341232505198,0.00759429869301087,290915
64,2455,6,2.534951497286387,0.007700109168737201,288525
64,2470,6,2.5337227305085834,0.007521981789469057,291265
64,2485,6,2.53662419387676,0.0075922252126636725,291048
64,2500,6,2.542947447101296,0.007478071374827033,291575
64,2515,6,2.5340659437734465,0.007821767149051029,291532
64,2530,6,2.530516445767886,0.007827566013996257,290526
64,2545,6,2.53060479141936,0.008338711991098702,287961
64,2560,6,2.5320086851375585,0.008545141915963561,289598
64,2575,6,2.531830606050698,0.007810428106976963,288486
64,2590,6,2.531902295045062,0.007416157622997965,290953
64,2605,6,2.5337565608737664,0.0074421231952476186,292109
64,2620,6,2.5397370011999376,0.007337973441777779,285033
64,2635,6,2.5363866508648,0.006917649406861681,292386
64,2650,6,2.5389598272514102,0.007842224064632641,288367
64,2665,6,2.530354499220105,0.008188228602545311,288494
64,2680,6,2.5354601965895545,0.007346942846192861,291307
