ts,replicate,xmin,alpha,ks,n_tail,tail_fraction,centered_ks
64,1396,5,2.559268935351693,0.010147755795791191,419063,0.011731468808516426,0.004400766150201241
64,1397,5,2.576423127624324,0.008611389433559213,386454,0.010778086392810258,0.0031283519604645704
64,1398,6,2.5034220746116196,0.009273112470965628,313245,0.008690877920028997,0.002526178636015064
64,1399,1,3.646925297213867,0.010608593299174074,35463979,1.0,0.008077422481648278
64,1400,5,2.5371875440055747,0.008358299322771434,420991,0.011942899352000172,0.002423971393633484
64,1401,6,2.4961830539352907,0.009141185162627519,279307,0.007934593317825138,0.003157067682044379
64,1402,1,3.629185188797693,0.01137943666528296,35314802,1.0,0.007219628218713026
64,1403,6,2.5397434096193954,0.006034871884165627,299027,0.008506013037544996,0.003431125604488189
64,1404,5,2.4980793296305257,0.010824382240850028,419242,0.011745009452356668,0.00409088707689198
64,1405,5,2.5253334012103563,0.010333056168617238,413778,0.011653636740547273,0.0032999736432387516
64,1406,5,2.530316479034481,0.00914600261135401,404202,0.011552004727324452,0.006147884293847605
64,1407,5,2.5399427617097485,0.00810555839135263,417286,0.011679549869096766,0.0031105897255317982
64,1408,1,3.625935282430301,0.011030681433123468,35747831,1.0,0.00775348224175576
64,1409,1,3.621248914750461,0.011238269927130173,35917673,1.0,0.007596949090916905
64,1410,6,2.502292808831594,0.007698338750178002,280024,0.00820984993768525,0.003172332529781108
64,1411,5,2.5274840509216956,0.009679013341164056,406684,0.011561186940262813,0.004474696790432553
64,1412,5,2.5756675147256036,0.009843945402075671,411195,0.01160391212367889,0.0029297426365402224
64,1413,5,2.5334957816631154,0.005742827840181319,408682,0.011710041334226434,0.0071854757558603155
64,1414,5,2.5538617515215982,0.00851795314179149,432130,0.011888097440307999,0.0023368443822567864
64,1415,5,2.5703685478666984,0.008601313547946687,431594,0.011885278371766927,0.006701307914210641
64,1416,6,2.48036195207351,0.008722074504412425,301884,0.00858141006037892,0.005449141206917862
64,1417,5,2.5597903241277855,0.008673350244951583,440108,0.012020933470108913,0.002347742600604774
64,1418,5,2.5195433176309288,0.009672101099837849,387704,0.011196427761274986,0.003971926665355174
64,1419,5,2.5479181825316757,0.009736076979479868,400975,0.011542236858013,0.007817537383952189
64,1420,6,2.5353757663082,0.00709348995225334,288306,0.00816434810707879,0.0016501576329237544
64,1421,1,3.6243475716321836,0.011815711179378519,35444696,1.0,0.005247493572174411
64,1422,5,2.5320185526494208,0.008774224739600656,423226,0.011676451393480378,0.00449089541789649
64,1423,6,2.539275915392494,0.009142049055847035,293600,0.008258422233495356,0.004249784041747973
64,1424,5,2.5467867584673796,0.007101102474393439,413151,0.011574003844582586,0.005441537545816055
64,1425,5,2.5470399179017886,0.011070478415122098,411756,0.011417879164910567,0.005656633253627419
64,1426,5,2.554042123744617,0.006015925929727439,399914,0.011275446931481432,0.003648124199731817
64,1427,5,2.5473487161903594,0.00860322625616472,407546,0.011730690972256003,0.007325677099353278
64,1428,5,2.571185660606341,0.004753435796737149,442617,0.01211696092011342,0.004731639840022728
64,1429,6,2.5034640743067533,0.00965165622429165,290797,0.00821543279321014,0.003667986956692959
64,1430,5,2.541464782754456,0.01064924988070226,406614,0.011490475921612672,0.00839938908274307
64,1431,5,2.592984308367288,0.008757095768188783,388057,0.010915943211902302,0.004731550830176623
64,1432,5,2.545316678622306,0.006664766468265859,402916,0.011562004360444387,0.008109535789658229
64,1433,6,2.5037587491172144,0.010432936047090502,292816,0.00839644565301795,0.003434738530183501
64,1434,5,2.5719761966230164,0.007860311400789688,415845,0.011628078978828477,0.003052953716785156
64,1435,5,2.5643038237958153,0.009052911391646212,411084,0.01158489309469535,0.0037161364218547543
64,1436,5,2.5409209834809894,0.0068747464015143644,398752,0.011295647465389814,0.0022993370956632952
64,1437,6,2.5423116567248845,0.007152393978669402,288316,0.008262852220712465,0.0014699129983883896
64,1438,5,2.5683893622707523,0.006105306244728825,404230,0.011324866816618965,0.004385183247931357
64,1439,5,2.573954415672532,0.0068332804811011005,411804,0.011714398346323067,0.003083894459746994
64,1440,6,2.5411821996434774,0.005544115000607253,307630,0.008460123811573024,0.002418039664371374
64,1441,7,2.520988146751317,0.006954212634045387,217820,0.0061062299552601335,0.007544893712480405
64,1442,1,3.6318651469869416,0.011843350023108656,35132053,1.0,0.006969509441236976
64,1443,5,2.499809634201912,0.010987722728822646,398680,0.011468003714473401,0.006605941307799346
64,1444,5,2.558007684152706,0.005976629775426012,396008,0.011405899000270107,0.006332021398692933
64,1445,5,2.500386419214371,0.008811608318294861,393823,0.011384338551033518,0.003706645380601725
64,1446,5,2.572787695394456,0.008146177793031728,402104,0.011494178289482617,0.009823650140307727
64,1447,5,2.5575400258207446,0.007439852636829558,394285,0.01120714847148775,0.004533151001246016
64,1448,7,2.5111616597104582,0.010384713804498347,220483,0.00622935642593956,0.0077417514358021355
64,1449,5,2.5307800067380946,0.00950417463361175,410410,0.011380066463625422,0.005478461875255025
64,1450,6,2.509020433234246,0.008974738976820995,281657,0.008072486114321905,0.0023453771721846095
64,1451,5,2.5529052345330725,0.009331427885241106,393970,0.010983609450426151,0.004870079184520426
64,1452,5,2.5297499553285916,0.007391289235020748,414958,0.011811704648461612,0.004779389659785638
64,1453,1,3.6311926341795835,0.0115491729440107,34895695,1.0,0.005426513563787094
64,1454,6,2.5794870153094447,0.008761171529508505,289149,0.00808734417858842,0.00597152929665401
64,1455,5,2.5718182870069652,0.004897077937853933,414454,0.011537166688500173,0.0026863313519509546
64,1456,7,2.536527109508499,0.004818853434774395,236335,0.00652866311979516,0.0036956204663208814
64,1457,5,2.5837397757653817,0.00932145784737004,396416,0.01111833387216558,0.003553753454506814
64,1458,5,2.561459907682501,0.005986791950876258,402520,0.011425937531073812,0.0045509598909446725
64,1459,5,2.56759553728328,0.007755189756473602,434724,0.011890052705280738,0.009119771778094865
64,1460,5,2.5961336658277525,0.005639663294609187,410397,0.011525826718713007,0.004408577803246105
