replicate,alpha,beta,maximum_centered_ks,scale_ts_512,centered_ks_ts_512,scale_ts_1024,centered_ks_ts_1024,scale_ts_4096,centered_ks_ts_4096,scale_ts_8192,centered_ks_ts_8192
233,2.653639857447023,3.3327295403600177,0.00421549179335956,257.3319463681797,0.004025225338849303,260.50319790950954,0.003966759716185653,222.97161630276707,0.00421549179335956,279.2945317660707,0.0025743465771528307
234,2.6553077071321525,3.440604598422075,0.007046274744180181,271.9223211620056,0.001879299433090842,245.5885690993657,0.004244822509812063,247.58392453746478,0.004203283013494263,292.8757052548599,0.007046274744180181
235,2.658140942627276,3.5403235225473035,0.009172774279829099,270.2450587944269,0.005505905864928828,254.46637683501595,0.006233327483238238,248.59655814383854,0.004824268237809903,263.15881156097964,0.009172774279829099
236,2.6422163826057226,3.530163419447442,0.01315549008390171,279.59429056703465,0.004514252688692433,237.10571234143637,0.01315549008390171,239.55190461613395,0.005179159461597305,250.65630717925268,0.011144471059130412
237,2.6691698622201625,3.6615443786854684,0.007788957966254784,287.99384977094036,0.0076440024957015185,248.89073024002462,0.006199452321127286,217.55389542638636,0.007442325436738284,246.88872418042237,0.007788957966254784
238,2.6351165756987918,3.2957365828351426,0.010247194335499699,259.39313436207453,0.004313752117049541,218.63479290854116,0.004959100151937679,233.67710600009474,0.001813789560420609,256.87849398300295,0.010247194335499699
239,2.665982048433533,3.5680081295092267,0.006191827485098167,284.28683204087827,0.002866772481459612,249.93831093178534,0.0031536462948827393,238.1083964783347,0.006191827485098167,288.462405641855,0.004457069452971862
240,2.653080805181218,3.5999373963361725,0.008783211994888407,264.893332585164,0.008783211994888407,272.75776790232965,0.007971300948650395,222.90536356534562,0.006256494320755479,273.83671293636087,0.00507143446374847
241,2.642963897188271,3.264806089271779,0.013879981957718002,276.22640647533404,0.00353047915504745,223.35093053965448,0.010658541951415357,234.40454109899724,0.013879981957718002,292.2177736458067,0.003695507785076657
242,2.6493968969297033,3.3537170048295795,0.008697819088103742,286.39220607879327,0.0033021142194751274,237.5987559668068,0.006046478056405125,237.10252066511828,0.008697819088103742,296.07843092522864,0.003971831666744086
243,2.6725155283847917,3.7650446058761866,0.01241838166872844,266.10473091461176,0.00656937801253854,231.60085884313844,0.008143710239171709,256.4324080881762,0.0012781008521292048,276.09562722656824,0.01241838166872844
244,2.676908966260597,3.5027835740537916,0.005098285464323449,269.5405338025586,0.005098285464323449,258.82167523824916,0.004641669523040459,232.28040198898844,0.0033218992466008124,283.9843848399982,0.001593755372420791
245,2.666560230194185,3.935560193210978,0.009540272311605591,280.0659392406007,0.003526868946385653,250.1826973278825,0.004122828643634113,233.5578760148101,0.006167992405285316,253.82452418912328,0.009540272311605591
246,2.660143371466028,3.453987790263823,0.01590300074219586,257.7055984903337,0.0075634500539989435,235.0432130136528,0.005376197982154829,250.75988484776335,0.00495609146810061,274.235744823444,0.01590300074219586
247,2.667076046900957,3.7879820041985903,0.007689318794976585,275.7735626164325,0.004486260213263038,251.02130697208486,0.004175815831332197,234.55092007352698,0.005386295230978777,267.1234285331859,0.007689318794976585
248,2.660406653672074,3.0273221515808304,0.013130048114363246,275.2096281673082,0.005979763117881398,212.80420077718782,0.01103868855781076,218.476097152199,0.00781568685380829,309.43467265453484,0.013130048114363246
249,2.6471210873691757,3.280542733340005,0.00906066012420137,271.7041647256669,0.0016555110809898244,248.77059339378368,0.0026391531728556794,240.92910577398555,0.007122834505474462,292.55916690798745,0.00906066012420137
250,2.646167678025641,3.176232274301155,0.012401664260302425,267.7005328895243,0.01037775758403281,249.21398274898692,0.01022486125094757,215.8375419602198,0.012401664260302425,268.2030812804338,0.01080238331032024
