replicate,xmin,gof_xmin,alpha,beta,maximum_centered_ks,scale_ts_512,centered_ks_ts_512,scale_ts_1024,centered_ks_ts_1024,scale_ts_4096,centered_ks_ts_4096,scale_ts_8192,centered_ks_ts_8192
66,29,29,2.5182402658319942,2.3410290158278766,0.0158645984911564,238.054480001834,0.0069809994216626925,213.73488627317687,0.0158645984911564,210.68047294945563,0.0028138064006349994,241.13877261657612,0.014975155376885763
67,29,29,2.46793397252753,2.3236528031637707,0.014347597941588353,223.5200252189154,0.010324602451838305,224.94330536710933,0.014347597941588353,183.96348069111747,0.005106776612562702,218.80964490020634,0.0071345484588158925
68,29,29,2.529816026463141,2.394353642944631,0.01590881168213898,252.844358826366,0.011963758438365002,220.22926947808773,0.009320990081697733,200.02272933108944,0.01473725558074862,264.36676626549524,0.01590881168213898
69,29,29,2.6089012234138345,2.92908212902217,0.012342947638482982,258.2054998080551,0.012342947638482982,232.27542727089337,0.009606080063680356,241.38316866895136,0.00808740326675128,234.86852260909924,0.004669451001804714
70,29,29,2.4821545395163245,2.2124997015587384,0.014797881837515181,188.5511449949928,0.009678234854561096,206.36248744365858,0.005163896557768055,188.5113380467878,0.013689755484408872,220.80943883174692,0.014797881837515181
71,29,29,2.510410027326226,2.521686541368322,0.010358254624852903,255.40332477071192,0.006771316288205931,213.8056487489206,0.010268320034979517,208.6462756126519,0.010358254624852903,256.03611322436456,0.006558058787499099
72,29,29,2.5580943960454263,2.781086190581105,0.018507579919214256,260.24819828527205,0.017219943485660694,205.55332660648793,0.018507579919214256,228.84001635499746,0.01303032383316538,236.5890392832759,0.012956220670407248
73,29,29,2.4870736795124957,2.3332625223139356,0.010931963688738888,231.1905974309688,0.010931963688738888,206.2054691300499,0.009716368925078434,199.1616236224067,0.007020508757443533,249.2751393602186,0.006933180162564168
74,29,29,2.501087603626049,2.3626641270066653,0.015484195388209443,213.87227504905815,0.00599058559442367,207.06751823323305,0.009489975008468349,209.40686931399722,0.006868707007373687,233.93339138451898,0.015484195388209443
75,29,29,2.5161678604652025,2.563626468947271,0.012919861810903654,244.56609438935317,0.012919861810903654,207.90427619577792,0.0126202517015655,203.21256680095067,0.005057516420954977,244.29816431199941,0.005972485682376294
76,29,29,2.449903579612563,2.1262282112293254,0.018109908986630563,215.89772237446286,0.009376425984026548,187.70965333443922,0.017621079951947394,190.98482018447885,0.018109908986630563,236.59042849616105,0.007535648715633059
77,29,29,2.4651378036914307,2.216855957269613,0.012868430908296757,231.24081186044108,0.0030240092854921796,202.44961246129682,0.0069976185861441165,167.1353331023398,0.012868430908296757,217.360168458645,0.010588709876737101
78,29,29,2.50706933857634,2.413379909583452,0.01745231407792569,243.53779038282931,0.004816889152511439,211.07285135039174,0.01745231407792569,194.31306701778354,0.006805574080319454,252.1628306046823,0.016192104033347254
79,29,29,2.5299538999258697,2.6163567214036276,0.028114356395885498,250.1561156210638,0.018012125676354407,222.3977507331511,0.013047638378540949,225.89623930019096,0.028114356395885498,257.2290400972775,0.005921834675706172
80,29,29,2.5337261679373215,2.506816102720986,0.022457280417668923,237.26009327172022,0.008835788083641938,223.96282803787028,0.022457280417668923,230.83870107691033,0.006970175849171811,245.12751801849686,0.020119305931624754
81,29,29,2.5447728998821377,2.6851291848279955,0.011735331250126685,241.86211996827203,0.008997323597583762,215.87255563923097,0.005801682351072646,212.03355935037214,0.011735331250126685,252.97325931158582,0.007740395052528715
82,29,29,2.490878099273866,2.5987387199313794,0.022089081346344352,232.19444636459704,0.022089081346344352,213.26561639461372,0.013292383110306893,200.65937381592565,0.006915737223610385,225.90895171170817,0.01624882537498462
83,29,29,2.5946095239641083,2.7766641996924153,0.01734284031169525,254.21118923604928,0.008312730218966946,241.86202050276816,0.005780066682340823,211.90262715388994,0.01734284031169525,252.0264570449143,0.013555391272723372
84,29,29,2.57766817445442,2.7707309273201344,0.018618633415540264,259.86381562634904,0.005906051415023206,217.811860563617,0.018618633415540264,258.90517422099083,0.006754430853576798,274.92995522519277,0.00642178556974915
85,29,29,2.5879119102060293,2.7769965582383853,0.01256152888412454,229.19738208343864,0.006426404585390566,230.59992162559257,0.009655447210361823,224.1502097233332,0.011022559297763523,248.58023875814507,0.01256152888412454
86,29,29,2.5135358275684956,2.4101907228399035,0.01131920708478118,245.58262602600763,0.004428820630356545,217.04356735299288,0.01131920708478118,202.34465172061175,0.01041891832531977,233.1639330661106,0.006949061867995376
87,29,29,2.5543325175931937,2.3020595812958784,0.01942846220062988,229.50121899319504,0.015058139872967946,226.87131653405038,0.005964176334795401,194.79697728209246,0.006412090912475521,240.80187209972,0.01942846220062988
88,29,29,2.4375074550069593,2.1726617780218964,0.011186600709787609,198.97383537209146,0.008360900761434031,211.23261297900672,0.011186600709787609,199.09177100317774,0.0068400976974022365,218.74665089121208,0.004919626389239984
89,29,29,2.5238028271783493,2.6835949203165193,0.00906572117649479,251.2843044402309,0.004750511810624025,214.30984874430865,0.006114790213097299,211.4263808297578,0.00906572117649479,244.78510604642534,0.006257962605441814
90,29,29,2.4993458686279704,2.4756535775738984,0.012806762255735266,224.41269307731486,0.005755168842977554,210.26362804896962,0.012806762255735266,221.07332804649354,0.0072445402931039515,244.92117501482574,0.010333688095874094
91,29,29,2.4740969511391464,2.17558902954297,0.016601361967185757,226.37228835738728,0.005686446494308384,226.64275155461564,0.011235198375706634,184.13905670485846,0.016601361967185757,254.11642271243218,0.004285255787351172
92,29,29,2.5990897883604616,2.7867266519133596,0.01625575539465074,244.31534677092424,0.015176439760499427,220.60366237870917,0.015173060290675777,230.26201224379574,0.01625575539465074,251.661789231148,0.01415408743528307
93,29,29,2.5304717473329266,2.4971789051810567,0.011066670525603783,248.15869894333647,0.009015327169307086,210.37928402630916,0.011066670525603783,192.81407626231672,0.007122004379282232,223.98162540544124,0.007091650810146455
