ts,model,model_label,xmin,n_total,n_tail,tail_fraction,maximum_size,scaling_decades,parameter_count,log_likelihood,aic,bic,ks,block_gof_p,block_gof_exceedances,block_gof_replicates,block_gof_mc_ci_low,block_gof_mc_ci_high,adequate_at_0_10,lambda,lambda_ci_low,lambda_ci_high,alpha,alpha_ci_low,alpha_ci_high,mu,sigma,mu_ci_low,mu_ci_high,sigma_ci_low,sigma_ci_high,scale,beta,scale_ci_low,scale_ci_high,beta_ci_low,beta_ci_high
16,cutoff_power_law,potência + corte exponencial,7,18860218,360639,0.019121677172554422,635,1.9576756852777188,2,-1243882.050495929,2487768.100991858,2487789.692257332,0.0037256956872226965,0.909,908,999,0.8893390418643644,0.9260262444643054,True,0.008310075403015442,0.005733528743596284,0.01213168708670992,1.9231124500114645,1.8243969736983323,2.021285699697994,,,,,,,,,,,,
16,lognormal,lognormal,7,18860218,360639,0.019121677172554422,635,1.9576756852777188,2,-1244579.7629341986,2489163.525868397,2489185.117133871,0.010414304218121007,0.055,54,999,0.04086447759166662,0.06994335944696534,False,,,,,,,-0.31257321356282186,1.7024429060146615,-1.602829237903346,0.5372224630835353,1.4692432036575704,2.0027332953173462,,,,,,
16,stretched_cutoff_power_law,potência + corte estendido,7,18860218,360639,0.019121677172554422,635,1.9576756852777188,3,-1243847.0991468597,2487700.1982937194,2487732.58519193,0.0045947496650370345,0.678,677,999,0.6477037210756392,0.7066002527577163,True,,,,2.0003520908956283,1.575529373568624,2.1302189489093006,,,,,,,156.96260877552118,1.309908412508958,23.51265520069154,248.56535679632142,0.5628500516871593,2.682103192021443
32,exponential,exponencial,5,26935855,466517,0.01731955417787926,598,2.077731179652392,1,-1452999.9781368694,2906001.9562737388,2906013.009323479,0.20701092863854254,0.001,0,999,0.0,0.003685762865739383,False,0.120758465444689,0.11282950553696632,0.12925627550305185,,,,,,,,,,,,,,,
32,power_law,potência pura,5,26935855,466517,0.01731955417787926,598,2.077731179652392,1,-1338372.5306700864,2676747.061340173,2676758.114389913,0.008812406810075668,0.048,47,999,0.03477003706809729,0.06207421389024613,False,,,,2.4204273387790085,2.3718694485901617,2.4710246225273904,,,,,,,,,,,,
32,cutoff_power_law,potência + corte exponencial,5,26935855,466517,0.01731955417787926,598,2.077731179652392,2,-1337476.2552872186,2674956.510574437,2674978.6166739175,0.008287507474855849,0.027,26,999,0.01706992572512017,0.037902793631932566,False,0.0035338334902769186,0.0022974415076210076,0.00507568489750089,2.322493882979041,2.252094280602777,2.391332965303116,,,,,,,,,,,,
32,lognormal,lognormal,5,26935855,466517,0.01731955417787926,598,2.077731179652392,2,-1337927.020478074,2675858.040956148,2675880.1470556282,0.008482685187949757,0.006,5,999,0.0016270485051574286,0.011641072774819454,False,,,,,,,-10.90265750578282,3.119327048994102,-26.54001535280647,-5.92706742127958,2.4927905360921994,4.556291514105649,,,,,,
32,stretched_cutoff_power_law,potência + corte estendido,5,26935855,466517,0.01731955417787926,598,2.077731179652392,3,-1337270.690853278,2674547.381706556,2674580.5408557765,0.005447666459858058,0.242,241,999,0.2150048015213428,0.26901194707706516,True,,,,2.378255495765588,2.301413150464676,2.435968826808189,,,,,,,293.9275923536097,2.373761381235071,225.32438367730913,341.6669352111046,1.3232338713085894,4.056554957164311
64,exponential,exponencial,13,35462519,86001,0.002425123832855754,531,1.6111511687746323,1,-328031.90302282455,656065.8060456491,656075.1681598522,0.13579793780374944,0.001,0,999,0.0,0.003685762865739383,False,0.05995683868630352,0.05413166361410288,0.06489384267470587,,,,,,,,,,,,,,,
64,power_law,potência pura,13,35462519,86001,0.002425123832855754,531,1.6111511687746323,1,-319512.93139064,639027.86278128,639037.224895483,0.02470052116568555,0.006,5,999,0.0016270485051574286,0.011641072774819454,False,,,,2.568202193388555,2.480717273206971,2.64638582922376,,,,,,,,,,,,
64,cutoff_power_law,potência + corte exponencial,13,35462519,86001,0.002425123832855754,531,1.6111511687746323,2,-318763.9625255018,637531.9250510036,637550.6492794097,0.006384929800086481,0.555,554,999,0.5231112251963922,0.5856754880066716,True,0.0074322265373524205,0.005249121547950116,0.01042318415949249,2.1897085895110404,2.011877157629105,2.3400263475201415,,,,,,,,,,,,
64,lognormal,lognormal,13,35462519,86001,0.002425123832855754,531,1.6111511687746323,2,-318919.4121125925,637842.824225185,637861.5484535911,0.009643587248858887,0.144,143,999,0.12200206791331844,0.1664112946097006,True,,,,,,,-0.2459682009535698,1.5817505598370483,-2.165397745714952,0.9396396167954179,1.3262480942354,1.9361875968421076,,,,,,
64,stretched_cutoff_power_law,potência + corte estendido,13,35462519,86001,0.002425123832855754,531,1.6111511687746323,3,-318709.24576841004,637424.4915368201,637452.5778794293,0.002946606967958454,0.915,914,999,0.8958649682141809,0.9314736156578777,True,,,,2.385773639413106,1.8173367744771685,2.506566103351353,,,,,,,218.32686669724882,2.0924677917148435,36.293777837060006,258.00158544430747,0.6508069302282444,3.2946102377010904
128,exponential,exponencial,22,39404004,29047,0.0007371585892641773,484,1.3424226808222062,1,-120632.08595009695,241266.1719001939,241274.44857068063,0.10997562227533314,0.001,0,999,0.0,0.003685762865739383,False,0.04272716750177015,0.04092821382543855,0.044867024665543306,,,,,,,,,,,,,,,
128,power_law,potência pura,22,39404004,29047,0.0007371585892641773,484,1.3424226808222062,1,-119108.402726544,238218.805453088,238227.0821235747,0.026955543841456542,0.001,0,999,0.0,0.003685762865739383,False,,,,2.7279137004707668,2.675973961133019,2.78586431559638,,,,,,,,,,,,
128,cutoff_power_law,potência + corte exponencial,22,39404004,29047,0.0007371585892641773,484,1.3424226808222062,2,-118754.38387772208,237512.76775544416,237529.3210964176,0.008074031332453768,0.016,15,999,0.008427501076951545,0.02464422364850476,False,0.008357250542502553,0.00705403240272886,0.009829210972834871,2.1256944911416693,1.9925183491798053,2.248162545027163,,,,,,,,,,,,
