replicate,maximum_synthetic_ks,synthetic_ks_ts_512,synthetic_ks_ts_1024,synthetic_ks_ts_4096,synthetic_ks_ts_8192
460,0.007435837930039713,0.004841945303030198,0.006294094421876506,0.007435837930039713,0.005991677719832111
461,0.00542710328281007,0.0038339269568516965,0.005156506851453746,0.0039358645291417416,0.00542710328281007
462,0.007407252519004981,0.007063632251244734,0.007407252519004981,0.0039889843781846235,0.004691591743730683
463,0.010321900476683354,0.010321900476683354,0.0055989824721108805,0.0065798490517987585,0.007827193148161105
464,0.009571491317925895,0.008138304050205214,0.004141233313984194,0.00417158526193484,0.009571491317925895
465,0.005897266410543833,0.004923729445418107,0.005897266410543833,0.004963125001526791,0.005768029329138058
466,0.008101857592606232,0.008101857592606232,0.004665564525073385,0.006066145536889361,0.004641722661402559
467,0.00894020510655058,0.006290044412893381,0.0032683826185856413,0.00894020510655058,0.004173705962048246
468,0.00830939299882838,0.005635264141795604,0.007609782891941419,0.00830939299882838,0.00525456166812277
469,0.011805733342781122,0.003321865086345799,0.005968473645396988,0.011590463186256728,0.011805733342781122
470,0.01102596149176796,0.008619467428492844,0.01102596149176796,0.0046169482241352755,0.005523677190495513
471,0.007196250633750234,0.006597867527196988,0.0038706422939512874,0.007196250633750234,0.004968876596572747
472,0.006848362927418417,0.0053888143173641545,0.003470639193692393,0.006848362927418417,0.004231014725427695
473,0.01086958341850175,0.004273009048996745,0.008315945859589058,0.0051316678285534545,0.01086958341850175
474,0.006397022986920686,0.005807043592191807,0.004436045190085294,0.006397022986920686,0.005111533763144438
475,0.008807712900659459,0.00478817338738291,0.008807712900659459,0.004232600847646539,0.0033312029117040787
476,0.007337618198745344,0.0061373747335514706,0.004772216683080255,0.004359467240043879,0.007337618198745344
477,0.009565272696146099,0.009565272696146099,0.0071227144631187955,0.006757950759868736,0.004667943755898296
478,0.005672897618170025,0.003693022299992965,0.005672897618170025,0.004340710287119964,0.00521200834803609
479,0.005941570156317466,0.005790786832229833,0.003941481428612059,0.005941570156317466,0.005252509702585728
